交易币对,买入时间,买入价格,买入数量,卖出时间,卖出价格,卖出数量,USDT Value,Fees,PnL,总资金,PnL Ratio,单笔收益率
BAT_USDT,2019-10-26 01:00:00+00:00,0.2635,4828.6140183836615,2019-10-29 00:00:00+00:00,0.2384,4828.6140183836615,1272.3397938440949,2.4234813758267597,-123.62,12764.22,-0.97%,-9.72%
ETH_USDT,2019-10-26 02:00:00+00:00,187.45,6.786943504212912,2019-10-29 00:00:00+00:00,182.61,6.786943504212912,1272.2125598647103,2.5115763131690305,-35.36,12728.86,-0.28%,-2.78%
NEO_USDT,2019-10-28 00:00:00+00:00,12.876,98.79507134270924,2019-10-31 00:00:00+00:00,11.04,98.79507134270924,1272.085338608724,2.362782926232234,-183.75,12545.10,-1.46%,-14.44%
BCHABC_USDT,2019-10-29 04:00:00+00:00,285.2,4.462686987837634,2019-11-01 00:00:00+00:00,282.1,4.462686987837634,1272.7583289312931,2.53168232820029,-16.37,12528.74,-0.13%,-1.29%
BNB_USDT,2019-10-29 06:00:00+00:00,20.8,61.18418524511539,2019-11-01 00:00:00+00:00,19.9229,61.18418524511539,1272.6310530984001,2.491597457318309,-56.16,12472.58,-0.45%,-4.41%
TRX_USDT,2019-10-29 15:00:00+00:00,0.0222,57319.99054022929,2019-11-01 00:00:00+00:00,0.01991,57319.99054022929,1272.5037899930903,2.413744801649056,-133.68,12338.91,-1.08%,-10.51%
XLM_USDT,2019-11-01 02:00:00+00:00,0.06989,17654.751837566197,2019-11-04 00:00:00+00:00,0.06833,17654.751837566197,1233.8906059275014,2.4402397989884,-29.98,12308.92,-0.24%,-2.43%
TOMO_USDT,2019-11-03 09:00:00+00:00,0.4512,2734.413157949709,2019-11-06 00:00:00+00:00,0.4231,2734.413157949709,1233.7672168669087,2.39069742399543,-79.23,12229.70,-0.65%,-6.42%
XLM_USDT,2019-11-04 23:00:00+00:00,0.07929,15522.374371790334,2019-11-07 00:00:00+00:00,0.07676,15522.374371790334,1230.7690639392556,2.4222665207178817,-41.69,12188.00,-0.34%,-3.39%
LTC_USDT,2019-11-05 09:00:00+00:00,62.42,19.713600167160504,2019-11-08 00:00:00+00:00,61.63,19.713600167160504,1230.5229224341588,2.4454721007362608,-18.02,12169.98,-0.15%,-1.46%
EOS_USDT,2019-11-05 09:00:00+00:00,3.5595,345.7356333847062,2019-11-08 00:00:00+00:00,3.4663,345.7356333847062,1230.6459870328617,2.4290694130342687,-34.65,12135.33,-0.29%,-2.82%
BCHABC_USDT,2019-11-06 05:00:00+00:00,303.41,4.029532566979874,2019-11-09 00:00:00+00:00,279.29,4.029532566979874,1222.6004761473637,2.3480086267791727,-99.54,12035.79,-0.83%,-8.14%
XRP_USDT,2019-11-06 22:00:00+00:00,0.3082,3966.509461712359,2019-11-09 00:00:00+00:00,0.27753,3966.509461712359,1222.478216099749,2.32330358700878,-123.98,11911.82,-1.04%,-10.14%
LTC_USDT,2019-11-10 16:00:00+00:00,64.48,18.473659268251165,2019-11-13 00:00:00+00:00,61.14,18.473659268251165,1191.1815496168351,2.3206610772777116,-64.02,11847.79,-0.54%,-5.37%
ATOM_USDT,2019-11-11 13:00:00+00:00,4.282,278.1556355585879,2019-11-14 00:00:00+00:00,3.965,278.1556355585879,1191.0624314618733,2.2939495264516747,-90.47,11757.32,-0.77%,-7.60%
VET_USDT,2019-11-11 21:00:00+00:00,0.006068,196266.2038923413,2019-11-14 00:00:00+00:00,0.0063,196266.2038923413,1190.9433252187268,2.4274204097404777,43.11,11800.43,0.37%,3.62%
BNB_USDT,2019-11-13 07:00:00+00:00,21.2774,55.67132641854002,2019-11-15 00:00:00+00:00,21.1562,55.67132641854002,1184.5410807378435,2.3623347967137596,-9.11,11791.32,-0.08%,-0.77%
LINK_USDT,2019-11-13 12:00:00+00:00,3.0077,393.7967970973733,2019-11-15 00:00:00+00:00,3.0471,393.7967970973733,1184.4226266297696,2.384360847065176,13.13,11804.45,0.11%,1.11%
VET_USDT,2019-11-14 13:00:00+00:00,0.006902,170936.84297772395,2019-11-15 00:00:00+00:00,0.007329,170936.84297772395,1179.8060902322507,2.43260221241599,70.56,11875.01,0.59%,5.98%
ETC_USDT,2020-01-05 00:00:00+00:00,4.7936,247.72631903306237,2020-01-08 00:00:00+00:00,4.9494,247.72631903306237,1187.5008829168876,2.4135975263391263,36.18,11911.19,0.30%,3.05%
BCH_USDT,2020-01-06 01:00:00+00:00,232.83,5.099781526558415,2020-01-09 00:00:00+00:00,239.63,5.099781526558415,1187.3821328285958,2.4094427800377884,32.27,11943.46,0.27%,2.72%
XMR_USDT,2020-01-06 02:00:00+00:00,55.82,21.26949829120948,2020-01-09 00:00:00+00:00,57.6,21.26949829120948,1187.2633946153132,2.4123864961889794,35.45,11978.91,0.30%,2.99%
EOS_USDT,2020-01-06 04:00:00+00:00,2.7794,427.12264095698765,2020-01-09 00:00:00+00:00,2.7646,427.12264095698765,1187.1446682758515,2.3679679214655396,-8.69,11970.22,-0.07%,-0.73%
DASH_USDT,2020-01-06 08:00:00+00:00,54.91,21.61766442923008,2020-01-09 00:00:00+00:00,51.79,21.61766442923008,1187.0259538090236,2.30660479459885,-69.75,11900.46,-0.59%,-5.88%
